step_type,req_ids,s_time_s,d_time_s,batch_size,total_tokens,ctx_lens,computed_tokens,mm_items,cache_hits
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.149481,0.000041,1,1,1538,1444,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.163280,0.000041,1,1,1540,1445,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.177102,0.000041,1,1,1542,1446,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.190914,0.000041,1,1,1544,1447,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.204736,0.000039,1,1,1546,1448,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.218553,0.000040,1,1,1548,1449,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.232382,0.000041,1,1,1550,1450,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.246191,0.000040,1,1,1552,1451,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.259995,0.000047,1,1,1554,1452,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.273811,0.000042,1,1,1556,1453,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.287635,0.000041,1,1,1558,1454,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.301443,0.000041,1,1,1560,1455,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.315256,0.000041,1,1,1562,1456,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.329076,0.000041,1,1,1564,1457,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.342900,0.000042,1,1,1566,1458,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.356728,0.000039,1,1,1568,1459,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.370535,0.000041,1,1,1570,1460,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.384366,0.000056,1,1,1572,1461,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.398236,0.000040,1,1,1574,1462,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.412053,0.000041,1,1,1576,1463,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.425859,0.000041,1,1,1578,1464,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.439664,0.000043,1,1,1580,1465,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.453501,0.000041,1,1,1582,1466,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.467318,0.000041,1,1,1584,1467,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.481169,0.000041,1,1,1586,1468,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.494987,0.000040,1,1,1588,1469,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.508801,0.000040,1,1,1590,1470,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.522623,0.000041,1,1,1592,1471,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.536459,0.000042,1,1,1594,1472,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.550281,0.000042,1,1,1596,1473,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.564102,0.000042,1,1,1598,1474,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.577922,0.000041,1,1,1600,1475,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.591727,0.000040,1,1,1602,1476,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.605562,0.000040,1,1,1604,1477,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.619388,0.000041,1,1,1606,1478,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.633203,0.000041,1,1,1608,1479,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.647010,0.000041,1,1,1610,1480,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.660844,0.000041,1,1,1612,1481,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.674655,0.000041,1,1,1614,1482,0,0
