step_type,req_ids,s_time_s,d_time_s,batch_size,total_tokens,ctx_lens,computed_tokens,mm_items,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.054553,0.014207,1,1,1439,1438,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.068988,0.014195,1,1,1440,1439,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.083408,0.014188,1,1,1441,1440,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.097820,0.014279,1,1,1442,1441,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.112329,0.014196,1,1,1443,1442,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.126750,0.014204,1,1,1444,1443,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.141179,0.014185,1,1,1445,1444,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.155593,0.014222,1,1,1446,1445,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.170041,0.014232,1,1,1447,1446,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.184496,0.014212,1,1,1448,1447,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.198945,0.014206,1,1,1449,1448,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.213378,0.014204,1,1,1450,1449,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.227808,0.014213,1,1,1451,1450,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.242246,0.014196,1,1,1452,1451,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.256666,0.014182,1,1,1453,1452,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.271074,0.014205,1,1,1454,1453,0,0
